RoomNumber,RoomType,Availability,ReservationNumber,CleanStatus
101,Single,false,548595163,false
102,Single,true,0,true
103,Single,true,0,true
104,Single,true,0,true
105,Single,true,0,true
106,Single,true,0,true
107,Single,true,0,true
108,Single,true,0,true
109,Single,true,0,true
110,Single,true,0,true
111,Single,true,0,true
112,Single,true,0,true
113,Single,true,0,true
114,Single,true,0,true
115,Single,true,0,true
116,Single,true,0,true
117,Single,true,0,true
118,Single,true,0,true
119,Single,true,0,true
120,Single,true,0,true
121,Single,true,0,true
122,Single,true,0,true
123,Single,true,0,true
124,Single,true,0,true
125,Single,true,0,true
126,Single,true,0,true
127,Single,true,0,true
128,Single,true,0,true
129,Single,true,0,true
130,Single,true,0,true
131,Single,true,0,true
132,Single,true,0,true
133,Single,true,0,true
134,Single,true,0,true
135,Single,true,0,true
136,Single,true,0,true
137,Single,true,0,true
138,Single,true,0,true
139,Single,true,0,true
140,Single,true,0,true
141,Single,true,0,true
142,Single,true,0,true
143,Single,true,0,true
144,Single,true,0,true
145,Single,true,0,true
146,Single,true,0,true
147,Single,true,0,true
148,Single,true,0,true
149,Single,true,0,true
150,Single,true,0,true
151,Single,true,0,true
152,Single,true,0,true
153,Single,true,0,true
154,Single,true,0,true
155,Single,true,0,true
156,Single,true,0,true
157,Single,true,0,true
158,Single,true,0,true
159,Single,true,0,true
160,Single,true,0,true
161,Single,true,0,true
162,Single,true,0,true
163,Single,true,0,true
164,Single,true,0,true
165,Single,true,0,true
166,Single,true,0,true
167,Single,true,0,true
168,Single,true,0,true
169,Single,true,0,true
170,Single,true,0,true
171,Single,true,0,true
172,Single,true,0,true
173,Single,true,0,true
174,Single,true,0,true
175,Single,true,0,true
176,Double,true,0,true
177,Double,true,0,true
178,Double,true,0,true
179,Double,true,0,true
180,Double,true,0,true
181,Double,true,0,true
182,Double,true,0,true
183,Double,true,0,true
184,Double,true,0,true
185,Double,true,0,true
186,Double,true,0,true
187,Double,true,0,true
188,Double,true,0,true
189,Double,true,0,true
190,Double,true,0,true
191,Double,true,0,true
192,Double,true,0,true
193,Double,true,0,true
194,Double,true,0,true
195,Double,true,0,true
196,Double,true,0,true
197,Double,true,0,true
198,Double,true,0,true
199,Double,true,0,true
200,Double,true,0,true
201,Double,true,0,true
202,Double,true,0,true
203,Double,true,0,true
204,Double,true,0,true
205,Double,true,0,true
206,Double,true,0,true
207,Double,true,0,true
208,Double,true,0,true
209,Double,true,0,true
210,Double,true,0,true
211,Double,true,0,true
212,Double,true,0,true
213,Double,true,0,true
214,Double,true,0,true
215,Double,true,0,true
216,Double,true,0,true
217,Double,true,0,true
218,Double,true,0,true
219,Double,true,0,true
220,Double,true,0,true
221,Double,true,0,true
222,Double,true,0,true
223,Double,true,0,true
224,Double,true,0,true
225,Double,true,0,true
226,Double,true,0,true
227,Double,true,0,true
228,Double,true,0,true
229,Double,true,0,true
230,Double,true,0,true
231,Double,true,0,true
232,Double,true,0,true
233,Double,true,0,true
234,Double,true,0,true
235,Double,true,0,true
236,Double,true,0,true
237,Double,true,0,true
238,Double,true,0,true
239,Double,true,0,true
240,Double,true,0,true
241,Double,true,0,true
242,Double,true,0,true
243,Double,true,0,true
244,Double,true,0,true
245,Double,true,0,true
246,Double,true,0,true
247,Double,true,0,true
248,Double,true,0,true
249,Double,true,0,true
250,Double,true,0,true
251,Triple,true,0,true
252,Triple,true,0,true
253,Triple,true,0,true
254,Triple,true,0,true
255,Triple,true,0,true
256,Triple,true,0,true
257,Triple,true,0,true
258,Triple,true,0,true
259,Triple,true,0,true
260,Triple,true,0,true
261,Triple,true,0,true
262,Triple,true,0,true
263,Triple,true,0,true
264,Triple,true,0,true
265,Triple,true,0,true
266,Triple,true,0,true
267,Triple,true,0,true
268,Triple,true,0,true
269,Triple,true,0,true
270,Triple,true,0,true
271,Triple,true,0,true
272,Triple,true,0,true
273,Triple,true,0,true
274,Triple,true,0,true
275,Triple,true,0,true
276,Triple,true,0,true
277,Triple,true,0,true
278,Triple,true,0,true
279,Triple,true,0,true
280,Triple,true,0,true
281,Triple,true,0,true
282,Triple,true,0,true
283,Triple,true,0,true
284,Triple,true,0,true
285,Triple,true,0,true
286,Triple,true,0,true
287,Triple,true,0,true
288,Triple,true,0,true
289,Triple,true,0,true
290,Triple,true,0,true
291,Triple,true,0,true
292,Triple,true,0,true
293,Triple,true,0,true
294,Triple,true,0,true
295,Triple,true,0,true
296,Triple,true,0,true
297,Triple,true,0,true
298,Triple,true,0,true
299,Triple,true,0,true
300,Triple,true,0,true
301,Connected,true,0,true
302,Connected,true,0,true
303,Connected,true,0,true
304,Connected,true,0,true
305,Connected,true,0,true
306,Connected,true,0,true
307,Connected,true,0,true
308,Connected,true,0,true
309,Connected,true,0,true
310,Connected,true,0,true
311,Connected,true,0,true
312,Connected,true,0,true
313,Connected,true,0,true
314,Connected,true,0,true
315,Connected,true,0,true
316,Connected,true,0,true
317,Connected,true,0,true
318,Connected,true,0,true
319,Connected,true,0,true
320,Connected,true,0,true
321,Connected,true,0,true
322,Connected,true,0,true
323,Connected,true,0,true
324,Connected,true,0,true
325,Connected,true,0,true
326,Connected,true,0,true
327,Connected,true,0,true
328,Connected,true,0,true
329,Connected,true,0,true
330,Connected,true,0,true
331,Connected,true,0,true
332,Connected,true,0,true
333,Connected,true,0,true
334,Connected,true,0,true
335,Connected,true,0,true
336,Connected,true,0,true
337,Connected,true,0,true
338,Connected,true,0,true
339,Connected,true,0,true
340,Connected,true,0,true
341,Connected,true,0,true
342,Connected,true,0,true
343,Connected,true,0,true
344,Connected,true,0,true
345,Connected,true,0,true
346,Connected,true,0,true
347,Connected,true,0,true
348,Connected,true,0,true
349,Connected,true,0,true
350,Connected,true,0,true
351,Connected,true,0,true
352,Connected,true,0,true
353,Connected,true,0,true
354,Connected,true,0,true
355,Connected,true,0,true
356,Connected,true,0,true
357,Connected,true,0,true
358,Connected,true,0,true
359,Connected,true,0,true
360,Connected,true,0,true
361,Suite,true,0,true
362,Suite,true,0,true
363,Suite,true,0,true
364,Suite,true,0,true
365,Suite,true,0,true
366,Suite,true,0,true
367,Suite,true,0,true
368,Suite,true,0,true
369,Suite,true,0,true
370,Suite,true,0,true
371,Suite,true,0,true
372,Suite,true,0,true
373,Suite,true,0,true
374,Suite,true,0,true
375,Suite,true,0,true
376,Penthouse,true,0,true
377,Penthouse,true,0,true
378,Penthouse,true,0,true
379,Penthouse,true,0,true
380,Penthouse,true,0,true
381,Penthouse,true,0,true
382,Penthouse,true,0,true
383,Penthouse,true,0,true
384,Penthouse,true,0,true
385,Penthouse,true,0,true
386,Penthouse,true,0,true
387,Penthouse,true,0,true
388,Penthouse,true,0,true
389,Penthouse,true,0,true
390,Penthouse,true,0,true
391,Penthouse,true,0,true
392,Penthouse,true,0,true
393,Penthouse,true,0,true
394,Penthouse,true,0,true
395,Penthouse,true,0,true
396,Penthouse,true,0,true
397,Penthouse,true,0,true
398,Penthouse,true,0,true
399,Penthouse,true,0,true
